Site,Bottle,datetime,Deployment,ID,EC_uScm,pH,Turbidity_ntu,TP_mgL,TDP_mgL,PO4P_mgL,TN_mgL,TDN_mgL,DON_mgL,NH4N_mgL,NO3N_mgL,DOC_mgL,TSS_mgL,VSS_mgL,ID2,datetime_DLS,Yr
FM,23,2017-06-23T09:15:00Z,2,CMP 150,2.58,7.93,123,0.839,0.388,0.332,1.85,1.48,0.94,0.04,0.5,18.4,116.4,16.9,150,2017-06-23T09:15:00Z,2017
FM,24,2017-06-23T10:15:00Z,2,CMP 151,2.5,7.71,85.9,0.725,0.42,0.326,1.84,1.56,0.97,0.02,0.57,18.1,77.9,12.8,151,2017-06-23T10:15:00Z,2017
FM,1,2017-07-17T11:30:00Z,3,CMP 225,2.31,8.06,78.2,0.659,0.395,0.332,1.5,1.65,0.62,0.09,0.95,12.7,61.4,11.9,225,2017-07-17T11:30:00Z,2017
FM,1,2017-07-17T12:30:00Z,3,CMP 228,2.89,8.2,69.1,0.693,0.397,0.376,2.67,1.97,0.61,0.02,1.34,12.6,62.7,13.3,228,2017-07-17T12:30:00Z,2017
FM,2,2017-07-17T13:30:00Z,3,CMP 229,2.79,8.23,65.9,0.739,0.465,0.441,3.06,2.18,0.58,0.02,1.58,12,63.3,11.6,229,2017-07-17T13:30:00Z,2017
FM,3,2017-07-17T14:30:00Z,3,CMP 230,2.82,8.22,58.3,0.656,0.459,0.438,2.67,2.17,0.62,0.03,1.52,13.4,53.6,10.8,230,2017-07-17T14:30:00Z,2017
FM,4,2017-07-17T15:30:00Z,3,CMP 231,2.9,8.26,92.3,0.749,0.465,0.443,2.44,1.95,0.59,0.01,1.35,13,88.4,13.5,231,2017-07-17T15:30:00Z,2017
FM,5,2017-07-17T16:30:00Z,3,CMP 232,2.87,8.19,130,0.841,0.446,0.414,2.58,2.05,0.68,0.02,1.35,13.8,126.3,19.9,232,2017-07-17T16:30:00Z,2017
FM,6,2017-07-17T17:30:00Z,3,CMP 233,2.75,8.25,211,1.034,0.41,0.384,2.56,2,0.55,0.02,1.42,11.9,207.9,29.5,233,2017-07-17T17:30:00Z,2017
FM,7,2017-07-17T18:30:00Z,3,CMP 234,2.75,8.23,352,1.357,0.453,0.436,3.02,2.18,0.52,0.03,1.63,11.6,333.7,48,234,2017-07-17T18:30:00Z,2017
FM,8,2017-07-17T19:30:00Z,3,CMP 235,2.76,8.27,158,0.868,0.428,0.406,2.61,2.13,0.55,0.02,1.55,11.1,147.2,21.7,235,2017-07-17T19:30:00Z,2017
FM,9,2017-07-17T20:30:00Z,3,CMP 236,2.79,8.28,175,0.933,0.446,0.419,2.99,2.09,0.59,0.02,1.48,12.4,161.8,24.1,236,2017-07-17T20:30:00Z,2017
