Bottle,Date,Site,ID,DOC_ppm,DOC_rep2,TN_ppm,TN_rep2,NO3_ppm,NO3_rep2,NH4_ppm,NH4_rep2,TP_ppm,TP_rep2,PO4_PPM,PO4_rep2
8,8/21/2018,FM,CMP 904,21.1,,1.90,,1.02,,0.00,,1.092,,0.319,
9,8/21/2018,FM,CMP 905,15.2,,1.65,1.65,0.66,0.63,0.02,0.02,0.740,0.740,0.198,0.196
10,8/21/2018,FM,CMP 906,17.2,,1.74,,0.69,,0.01,,0.603,,0.212,
11,8/21/2018,FM,CMP 907,22.9,,1.45,,0.57,,0.01,,0.426,,0.177,
12,8/21/2018,FM,CMP 908,15.5,,1.35,,0.52,,0.01,,0.622,,0.160,
13,8/21/2018,FM,CMP 909,15.4,,1.43,,0.60,,0.03,,0.759,,0.182,
14,8/21/2018,FM,CMP 910,24.3,24.0,1.67,,0.69,,0.05,,0.847,,0.217,
15,8/21/2018,FM,CMP 911,15.3,,1.45,,0.39,,0.01,,0.837,,0.112,
16,8/21/2018,FM,CMP 912,19.8,,1.53,,0.53,,0.00,,0.495,,0.137,
17,8/21/2018,FM,CMP 913,17.9,,1.55,,0.66,,0.01,,0.544,,0.182,
18,8/21/2018,FM,CMP 914,17.9,,1.73,1.77,0.77,0.77,0.01,0.01,0.573,0.544,0.222,0.227
19,8/21/2018,FM,CMP 915,19.4,,1.77,,0.77,,0.02,,0.544,,0.234,
20,8/21/2018,FM,CMP 916,18.4,,1.71,,0.74,,0.00,,0.436,,0.247,
21,8/21/2018,FM,CMP 917,19.6,,1.57,,0.67,,0.01,,0.563,,0.244,
22,8/21/2018,FM,CMP 918,19.8,,1.76,,0.64,,0.03,,0.485,,0.242,
23,8/21/2018,FM,CMP 919,18.6,,2.22,,0.68,,0.03,,1.020,,0.188,
24,8/21/2018,FM,CMP 920,24.2,24.1,2.27,,1.24,,0.06,,0.681,,0.387,
1,8/21/2018,SD,CMP 921,24.4,,1.80,,0.84,,0.00,,0.263,,0.246,
2,8/21/2018,SD,CMP 922,21.3,,1.67,,0.86,,0.00,,0.275,,0.258,
3,8/21/2018,SD,CMP 923,18.5,,1.84,1.86,0.90,0.89,0.05,0.05,0.348,0.338,0.277,0.277
4,8/21/2018,SD,CMP 924,31.9,,2.01,,1.01,,0.04,,0.378,,0.311,
5,8/21/2018,SD,CMP 925,32.5,,2.06,,1.14,,0.06,,0.387,,0.347,
6,8/21/2018,SD,CMP 926,23.2,,2.28,,1.20,,0.06,,0.534,,0.389,
7,8/21/2018,SD,CMP 927,22.4,,2.36,,1.21,,0.06,,0.573,,0.389,
8,8/21/2018,SD,CMP 928,21.7,,2.21,,1.16,,0.07,,0.426,,0.368,
9,8/21/2018,SD,CMP 929,19.9,,1.80,,1.03,,0.06,,0.360,,0.327,
10,8/21/2018,SD,CMP 930,25.8,25.5,1.63,,0.83,,0.06,,0.282,,0.271,
11,8/21/2018,SD,CMP 931,28.9,,1.49,,0.71,,0.05,,0.272,,0.223,
12,8/21/2018,SD,CMP 932,16.4,,1.50,1.42,0.73,0.72,0.08,0.07,0.251,0.261,0.233,0.234
13,8/21/2018,SD,CMP 933,16.1,,1.39,,0.69,,0.04,,0.232,,0.220,
14,8/21/2018,SD,CMP 934,18.0,,1.40,,0.66,,0.07,,0.238,,0.211,
15,8/21/2018,SD,CMP 935,17.7,,1.46,,0.73,,0.06,,0.253,,0.233,
16,8/21/2018,SD,CMP 936,18.2,,1.83,,0.93,,0.07,,0.319,,0.301,
17,8/21/2018,SD,CMP 937,20.7,,2.17,,1.08,,0.08,,0.505,,0.376,
18,8/21/2018,SD,CMP 938,24.2,,2.16,,1.18,,0.12,,0.612,,0.452,
19,8/21/2018,SD,CMP 939,27.1,,2.43,,1.19,,0.13,,0.700,,0.502,
20,8/21/2018,SD,CMP 940,31.7,31.5,2.29,,1.08,,0.14,,0.788,,0.497,
21,8/21/2018,SD,CMP 941,30.8,,2.59,2.61,1.18,1.17,0.16,0.16,0.935,0.945,0.604,0.605
22,8/21/2018,SD,CMP 942,31.9,,2.59,,1.50,,0.13,,1.121,,0.712,
23,8/21/2018,SD,CMP 943,25.9,,2.27,,1.40,,0.06,,0.808,,0.449,
24,8/21/2018,SD,CMP 944,19.3,,1.86,,1.14,,0.05,,0.426,,0.376,
1,8/21/2018,HL,CMP 945,22.9,,2.14,,1.51,,0.03,,0.484,,0.460,
2,8/21/2018,HL,CMP 946,21.0,,2.29,,1.64,,0.05,,0.547,,0.510,
3,8/21/2018,HL,CMP 947,20.6,,2.52,,1.86,,0.05,,0.585,,0.561,
4,8/21/2018,HL,CMP 948,20.3,,2.81,,2.25,,0.04,,0.673,,0.642,
5,8/21/2018,HL,CMP 949,19.6,,2.52,,1.96,,0.02,,0.663,,0.639,
6,8/21/2018,HL,CMP 950,20.6,20.2,2.82,2.81,2.10,2.10,0.02,0.02,0.675,0.685,0.659,0.655
7,8/21/2018,HL,CMP 951,19.9,,2.71,,2.05,,0.07,,0.634,,0.621,
8,8/21/2018,HL,CMP 952,17.5,,2.33,,1.82,,0.03,,0.585,,0.553,
9,8/21/2018,HL,CMP 953,20.4,,2.22,,1.56,,0.05,,0.495,,0.486,
10,8/21/2018,HL,CMP 954,18.2,,1.98,,1.37,,0.07,,0.636,,0.585,
11,8/21/2018,HL,CMP 955,19.0,,1.93,,1.23,,0.05,,0.423,,0.392,
12,8/21/2018,HL,CMP 956,17.8,,1.94,,1.20,,0.07,,0.397,,0.376,
13,8/21/2018,HL,CMP 957,19.4,,1.97,,1.27,,0.05,,0.399,,0.397,
14,8/21/2018,HL,CMP 958,19.6,,2.19,,1.50,,0.03,,0.464,,0.454,
15,8/21/2018,HL,CMP 959,20.9,,2.42,2.43,1.68,1.68,0.06,0.05,0.545,0.545,0.516,0.521
16,8/21/2018,HL,CMP 960,22.5,22.1,2.44,,1.75,,0.12,,0.597,,0.581,
17,8/21/2018,HL,CMP 961,19.6,,2.21,,1.52,,0.04,,0.596,,0.592,
18,8/21/2018,HL,CMP 962,19.4,,1.96,,1.28,,0.02,,0.606,,0.599,
19,8/21/2018,HL,CMP 963,19.8,,1.93,,1.12,,0.03,,0.612,,0.586,
20,8/21/2018,HL,CMP 964,20.5,,1.87,,1.05,,0.02,,0.605,,0.581,
21,8/21/2018,HL,CMP 965,21.2,,1.99,,1.15,,0.02,,0.595,,0.561,
22,8/21/2018,HL,CMP 966,19.0,,2.59,,1.85,,0.03,,0.651,,0.623,
23,8/21/2018,HL,CMP 967,18.7,,2.67,,1.92,,0.08,,0.671,,0.589,
24,8/21/2018,HL,CMP 968,17.7,,2.43,2.45,1.61,1.64,0.04,0.04,0.544,0.544,0.507,0.507
1,8/21/2018,PT,CMP 969,17.1,,2.64,,1.79,,0.02,,0.657,,0.540,
2,8/21/2018,PT,CMP 970,19.3,18.9,2.56,,1.88,,0.05,,0.632,,0.580,
3,8/21/2018,PT,CMP 971,18.3,,2.59,,1.97,,0.02,,0.828,,0.591,
4,8/21/2018,PT,CMP 972,16.4,,2.58,,1.81,,0.03,,0.818,,0.596,
5,8/21/2018,PT,CMP 973,14.7,,2.49,,1.55,,0.02,,0.925,,0.564,
6,8/21/2018,PT,CMP 974,15.3,,2.14,,1.42,,0.04,,0.818,,0.545,
7,8/21/2018,PT,CMP 975,14.4,,2.36,,1.52,,0.03,,0.945,,0.570,
8,8/21/2018,PT,CMP 976,14.2,,2.54,,1.65,,0.02,,1.092,,0.570,
9,8/21/2018,PT,CMP 977,13.7,,2.63,2.67,1.72,1.73,0.04,0.04,1.092,1.072,0.538,0.543
10,8/21/2018,PT,CMP 978,14.4,,2.59,,1.67,,0.03,,1.062,,0.538,
11,8/21/2018,PT,CMP 979,13.6,,2.35,,1.51,,0.06,,0.916,,0.478,
12,8/21/2018,PT,CMP 980,13.9,13.4,2.12,,1.37,,0.05,,0.837,,0.445,
13,8/21/2018,PT,CMP 981,13.3,,2.10,,1.33,,0.06,,0.935,,0.441,
14,8/21/2018,PT,CMP 982,12.7,,2.28,,1.45,,0.09,,0.965,,0.475,
15,8/21/2018,PT,CMP 983,13.9,,2.49,,1.69,,0.05,,1.072,,0.538,
16,8/21/2018,PT,CMP 984,13.7,,2.57,,1.62,,0.03,,1.180,,0.569,
17,8/21/2018,PT,CMP 985,13.8,,2.18,,1.39,,0.02,,1.072,,0.543,
18,8/21/2018,PT,CMP 986,14.8,,1.97,2.01,1.28,1.29,0.03,0.03,0.818,0.808,0.542,0.543
19,8/21/2018,PT,CMP 987,14.1,,1.89,,1.18,,0.04,,0.749,,0.508,
20,8/21/2018,PT,CMP 988,13.7,,1.75,,1.07,,0.04,,0.593,,0.511,
21,8/21/2018,PT,CMP 989,13.5,,1.79,,1.05,,0.03,,0.700,,0.516,
22,8/21/2018,PT,CMP 990,13.8,13.3,2.13,,1.29,,0.03,,1.102,,0.537,
23,8/21/2018,PT,CMP 991,13.8,,2.50,,1.57,,0.05,,1.287,,0.565,
24,8/21/2018,PT,CMP 992,13.5,,2.75,2.78,1.99,1.99,0.05,0.04,1.209,1.209,0.623,0.624
1,9/18/2018,FM,CMP 993,10.244,,0.901,,0.161,,0.016,,0.209,,0.033,
2,9/18/2018,FM,CMP 994,9.067,9.160,0.959,,0.349,,0.017,,0.261,,0.125,
3,9/18/2018,FM,CMP 995,8.776,,1.003,,0.575,,0.027,,0.339,,0.215,
4,9/18/2018,FM,CMP 996,10.564,,1.543,,0.867,,0.050,,0.443,,0.328,
5,9/18/2018,FM,CMP 997,11.663,,1.984,,1.056,,0.059,,0.505,,0.399,
6,9/18/2018,FM,CMP 998,10.162,,1.789,,0.839,,0.035,,0.408,,0.321,
7,9/18/2018,FM,CMP 999,8.436,,1.271,,0.650,,0.017,,0.330,,0.248,
8,9/18/2018,FM,CMP 1000,8.380,,1.308,1.293,0.612,,0.029,,0.287,,0.229,
9,9/18/2018,FM,CMP 1001,8.260,,1.248,,0.508,0.511,0.041,0.036,0.304,0.304,0.192,0.192
10,9/18/2018,FM,CMP 1002,4.880,4.929,0.748,,0.209,,0.015,,0.192,,0.084,
11,9/18/2018,FM,CMP 1003,4.723,,0.719,,0.152,,0.015,,0.167,,0.063,
12,9/18/2018,FM,CMP 1004,6.839,,1.003,,0.455,,0.036,,0.252,,0.172,
13,9/18/2018,FM,CMP 1005,7.053,,0.930,,0.494,,0.039,,0.227,,0.186,
14,9/18/2018,FM,CMP 1006,7.958,,1.099,,0.571,,0.029,,0.269,,0.216,
15,9/18/2018,FM,CMP 1007,9.076,,1.286,,0.753,,0.033,,0.304,,0.283,
16,9/18/2018,FM,CMP 1008,9.940,,1.505,1.482,0.847,,0.034,,0.373,,0.321,
17,9/18/2018,FM,CMP 1009,10.747,,1.619,,0.801,,0.037,,0.373,,0.329,
18,9/18/2018,FM,CMP 1010,10.831,,1.704,,0.726,0.726,0.036,0.034,0.373,0.382,0.312,
19,9/18/2018,FM,CMP 1011,11.083,,1.612,,0.709,,0.017,,0.408,,0.312,0.307
20,9/18/2018,FM,CMP 1012,10.635,10.645,1.459,,0.707,,0.033,,0.382,,0.305,
21,9/18/2018,FM,CMP 1013,11.491,,1.992,,1.319,,0.081,,0.505,,0.480,
22,9/18/2018,FM,CMP 1014,10.857,,1.914,,1.099,,0.060,,0.461,,0.413,
23,9/18/2018,FM,CMP 1015,7.937,,1.368,,0.577,,0.020,,0.278,,0.219,
24,9/18/2018,FM,CMP 1016,4.910,,0.791,,0.188,,0.010,,0.269,,0.084,
1,9/18/2018,SD,CMP 1017,8.529,,1.338,1.361,0.687,,0.078,,0.269,,0.250,
2,9/18/2018,SD,CMP 1018,9.351,,1.429,,0.677,,0.069,,0.269,,0.242,
3,9/18/2018,SD,CMP 1019,8.655,,1.512,,0.662,0.665,0.074,0.070,0.373,0.365,0.245,0.245
4,9/18/2018,SD,CMP 1020,9.811,,1.581,,0.837,,0.078,,0.391,,0.310,
5,9/18/2018,SD,CMP 1021,12.339,12.425,1.960,,1.091,,0.094,,0.540,,0.429,
6,9/18/2018,SD,CMP 1022,13.059,,2.173,,1.177,,0.095,,0.702,,0.466,
7,9/18/2018,SD,CMP 1023,13.382,,2.518,,1.118,,0.099,,0.585,,0.447,
8,9/18/2018,SD,CMP 1024,13.007,,1.984,,0.959,,0.092,,0.382,,0.363,
9,9/18/2018,SD,CMP 1025,10.659,,1.673,,0.829,,0.094,,0.305,,0.313,
10,9/18/2018,SD,CMP 1026,8.566,,1.619,1.658,0.677,,0.091,,0.209,0.207,0.246,
11,9/18/2018,SD,CMP 1027,7.653,,1.437,,0.610,,0.112,,0.227,0.217,0.215,
12,9/18/2018,SD,CMP 1028,7.526,,1.293,,0.591,0.585,0.096,0.087,0.218,0.227,0.207,0.207
13,9/18/2018,SD,CMP 1029,7.513,,1.727,,0.614,,0.092,,0.218,,0.211,
14,9/18/2018,SD,CMP 1030,9.759,,2.055,,0.777,,0.081,,0.304,,0.291,
15,9/18/2018,SD,CMP 1031,11.350,11.049,1.812,,0.930,,0.088,,0.417,,0.367,
16,9/18/2018,SD,CMP 1032,13.728,,2.502,,1.120,,0.092,,0.621,,0.488,
17,9/18/2018,SD,CMP 1033,20.650,,2.853,,1.160,,0.102,,0.996,,0.794,
18,9/18/2018,SD,CMP 1034,22.693,,3.211,,1.029,,0.110,,1.024,,0.886,
19,9/18/2018,SD,CMP 1035,23.948,,3.060,3.035,0.985,,0.116,,1.071,,0.900,
20,9/18/2018,SD,CMP 1036,24.492,,4.264,,1.880,,0.120,,1.270,,0.515,0.515
21,9/18/2018,SD,CMP 1037,24.959,,4.353,,1.987,1.987,0.117,0.118,1.156,1.165,0.536,0.536
22,9/18/2018,SD,CMP 1038,13.700,,2.721,,1.550,,0.099,,0.666,,0.579,
23,9/18/2018,SD,CMP 1039,12.027,,2.421,,1.152,,0.094,,0.496,,0.429,
24,9/18/2018,SD,CMP 1040,10.645,,1.992,,0.825,,0.101,,0.365,,0.315,
1,9/18/2018,HL,CMP 1041,13.740,13.859,3.295,,2.077,,0.005,,0.666,,0.616,
2,9/18/2018,HL,CMP 1042,13.852,,3.380,,1.842,,0.008,,0.594,,0.590,
3,9/18/2018,HL,CMP 1043,13.976,,3.236,,1.813,,0.017,,0.567,,0.579,
4,9/18/2018,HL,CMP 1044,14.379,,3.388,3.422,2.020,,0.025,,0.615,,0.623,
5,9/18/2018,HL,CMP 1045,13.454,,3.653,,2.314,,0.008,,0.664,,0.666,
6,9/18/2018,HL,CMP 1046,13.474,,3.852,,2.421,2.425,0.013,0.013,0.683,,0.690,0.689
7,9/18/2018,HL,CMP 1047,13.736,,3.559,,2.411,,0.008,,0.693,,0.695,
8,9/18/2018,HL,CMP 1048,13.847,,3.826,,2.514,,0.031,,0.693,,0.719,
9,9/18/2018,HL,CMP 1049,13.614,,3.662,,2.392,,0.024,,0.683,,0.690,
10,9/18/2018,HL,CMP 1050,13.530,13.696,3.219,,2.142,,0.038,,0.654,0.654,0.649,
11,9/18/2018,HL,CMP 1051,14.285,,2.869,,1.759,,0.052,,0.586,,0.579,
12,9/18/2018,HL,CMP 1052,13.849,,2.607,,1.515,,0.058,,0.567,,0.541,
13,9/18/2018,HL,CMP 1053,13.158,,2.550,2.534,1.396,,0.058,,0.519,,0.503,
14,9/18/2018,HL,CMP 1054,13.358,,2.317,,1.463,,0.063,,0.548,,0.525,
15,9/18/2018,HL,CMP 1055,13.589,,2.689,,1.683,1.674,0.059,0.058,0.586,,0.571,0.571
16,9/18/2018,HL,CMP 1056,13.514,,3.119,,2.059,,0.050,,0.630,,0.630,
17,9/18/2018,HL,CMP 1057,18.920,18.737,3.119,,2.212,,0.047,,0.693,,0.671,
18,9/18/2018,HL,CMP 1058,14.697,,2.894,,1.885,,0.041,,0.664,0.654,0.644,
19,9/18/2018,HL,CMP 1059,14.874,,2.421,,1.415,,0.034,,0.594,,0.592,
20,9/18/2018,HL,CMP 1060,12.506,12.478,2.285,,1.112,,0.034,,0.729,,0.566,
21,9/18/2018,HL,CMP 1061,15.218,,1.921,,1.058,,0.035,,0.615,,0.560,
22,9/18/2018,HL,CMP 1062,15.241,15.118,1.976,1.960,1.047,,0.037,,0.567,,0.549,
23,9/18/2018,HL,CMP 1063,17.036,,2.317,,1.261,,0.038,,0.576,,0.533,
24,9/18/2018,HL,CMP 1064,13.187,,4.967,,3.162,3.175,0.042,0.042,0.894,0.894,0.813,0.811
1,9/18/2018,PT,CMP 1065,14.423,,3.739,,2.117,,0.032,,1.052,,0.595,
2,9/18/2018,PT,CMP 1066,13.490,,3.490,,2.243,,0.054,,0.720,,0.646,
3,9/18/2018,PT,CMP 1067,13.467,,3.748,,2.121,,0.071,,0.702,,0.633,
4,9/18/2018,PT,CMP 1068,15.153,,3.320,,2.110,,0.073,,0.693,,0.639,
5,9/18/2018,PT,CMP 1069,13.484,,3.670,,2.156,,0.071,,0.675,,0.636,
6,9/18/2018,PT,CMP 1070,13.676,,2.902,,1.869,,0.053,,0.612,,0.600,
7,9/18/2018,PT,CMP 1071,13.721,13.593,2.550,2.502,1.502,,0.045,,0.603,,0.552,
8,9/18/2018,PT,CMP 1072,13.906,,2.510,,1.493,,0.036,,0.621,,0.553,
9,9/18/2018,PT,CMP 1073,13.652,,2.713,,1.626,1.636,0.044,0.045,0.666,0.675,0.568,0.563
10,9/18/2018,PT,CMP 1074,12.957,12.970,2.886,,1.687,,0.046,,0.648,,0.560,
11,9/18/2018,PT,CMP 1075,13.213,,3.295,,1.949,,0.052,,0.630,,0.603,
12,9/18/2018,PT,CMP 1076,13.127,,3.144,,1.885,,0.059,,0.657,,0.590,
13,9/18/2018,PT,CMP 1077,13.443,,2.935,,1.707,,0.078,,0.594,,0.577,
14,9/18/2018,PT,CMP 1078,12.183,,3.186,,1.553,,0.074,,1.542,,0.544,
15,9/18/2018,PT,CMP 1079,11.950,,3.160,,1.801,,0.072,,0.765,,0.608,
16,9/18/2018,PT,CMP 1080,11.902,11.887,3.253,3.270,1.972,,0.074,,0.711,,0.631,
17,9/18/2018,PT,CMP 1081,12.225,,3.160,,1.849,,0.067,,0.702,,0.606,
18,9/18/2018,PT,CMP 1082,12.328,,2.713,,1.498,1.495,0.057,0.057,0.648,0.639,0.577,0.582
19,9/18/2018,PT,CMP 1083,12.706,12.514,2.713,,1.317,,0.059,,0.612,,0.558,
20,9/18/2018,PT,CMP 1084,12.267,,2.526,,1.227,,0.053,,0.576,,0.541,
21,9/18/2018,PT,CMP 1085,12.203,,2.689,,0.975,,0.035,,0.621,,0.506,
22,9/18/2018,PT,CMP 1086,12.185,,2.341,,0.940,,0.041,,0.931,,0.504,0.507
23,9/18/2018,PT,CMP 1087,12.273,,2.672,,0.934,,0.050,,1.751,,0.474,
24,9/18/2018,PT,CMP 1088,12.379,12.365,3.473,3.550,1.419,1.415,0.045,0.045,1.774,1.830,0.533,
1,9/24/2018,FM,CMP 1089,8.727,,0.862,,0.126,,0.014798189,,0.295,,0.041,
2,9/24/2018,FM,CMP 1090,7.425,7.193,0.900,,0.318,,0.017619705,,0.383,,0.102,
3,9/24/2018,FM,CMP 1091,9.150,,0.913,,0.654,,0.057300604,,0.499,,0.199,
4,9/24/2018,FM,CMP 1092,10.745,,0.926,,0.745,,0.065024723,,0.528,,0.281,
5,9/24/2018,FM,CMP 1093,11.835,,1.009,,0.943,,0.065,,0.683,,0.351,
6,9/24/2018,FM,CMP 1094,11.477,,0.972,,0.921,,0.048561936,,0.625,,0.348,
7,9/24/2018,FM,CMP 1095,11.456,,0.925,,0.867,,0.058165421,,0.635,,0.350,0.353
8,9/24/2018,FM,CMP 1096,10.414,,0.888,,0.819,,0.05469628,,0.499,,0.307,
9,9/24/2018,FM,CMP 1097,11.422,,1.119,1.072,0.998,0.999,0.105509533,0.104740149,0.693,0.712,0.391,
10,9/24/2018,FM,CMP 1098,10.517,,0.994,,0.895,,0.098525844,,0.577,,0.347,
11,9/24/2018,FM,CMP 1099,9.270,,0.939,,0.776,,0.058165421,,0.625,,0.256,
12,9/24/2018,FM,CMP 1100,5.423,5.575,0.977,,0.270,,0.017619705,,0.480,,0.100,
13,9/24/2018,FM,CMP 1101,5.790,,0.926,,0.316,,0.017619705,,0.334,,0.113,
14,9/24/2018,FM,CMP 1102,4.594,,0.939,,0.181,,0.008157061,,0.315,,0.070,
15,9/24/2018,FM,CMP 1103,9.838,,0.939,,0.791,,0.06075,,0.499,,0.270,
16,9/24/2018,FM,CMP 1104,10.326,,0.967,,0.901,,0.065,,0.586,,0.342,0.339
17,9/24/2018,FM,CMP 1105,10.165,,0.952,,0.858,0.856,0.090609876,,0.654,,0.313,
18,9/24/2018,FM,CMP 1106,10.291,,0.913,0.939,0.827,0.834,0.067569813,0.062464825,0.635,0.606,0.299,
19,9/24/2018,FM,CMP 1107,10.880,,0.939,,0.789,,0.09616833,,0.654,,0.293,
20,9/24/2018,FM,CMP 1108,11.232,,0.990,,0.808,,0.084158633,,0.596,,0.304,
21,9/24/2018,FM,CMP 1109,10.065,,0.990,,0.795,,0.059890119,,0.557,,0.288,
22,9/24/2018,FM,CMP 1110,10.784,10.898,0.913,,0.841,0.842,0.071,,0.664,,0.371,
23,9/24/2018,FM,CMP 1111,9.874,,0.965,,0.769,,0.075116229,,0.750,,0.253,
24,9/24/2018,FM,CMP 1112,6.360,,1.029,,0.238,,0.047679019,,0.760,,0.087,
1,9/24/2018,SD,CMP 1113,9.967,,0.939,,0.778,,0.061608235,,0.538,,0.267,0.265
2,9/24/2018,SD,CMP 1114,8.720,,0.952,,0.686,,0.093001943,,0.480,,0.240,
3,9/24/2018,SD,CMP 1115,10.608,,0.926,0.952,0.815,,0.102422125,0.102422125,0.557,0.548,0.329,
4,9/24/2018,SD,CMP 1116,13.031,,1.110,1.087,1.003,,0.099308391,,0.818,,0.452,
5,9/24/2018,SD,CMP 1117,19.480,,1.254,1.214,1.131,,0.106277272,,1.076,,0.682,
6,9/24/2018,SD,CMP 1118,21.876,,1.236,,1.131,,0.100868549,,1.133,,0.767,
7,9/24/2018,SD,CMP 1119,22.849,,1.141,,0.977,,0.105509533,,1.200,,0.786,
8,9/24/2018,SD,CMP 1120,21.209,21.257,1.227,,0.952,,0.110849149,,1.124,,0.752,
9,9/24/2018,SD,CMP 1121,12.732,,1.170,1.166,1.016,,0.110849149,,0.741,,0.445,
10,9/24/2018,SD,CMP 1122,9.938,,1.003,,0.830,,0.107807813,,0.615,,0.300,0.300
11,9/24/2018,SD,CMP 1123,9.142,,0.977,,0.644,,0.119815201,,0.499,,0.223,
12,9/24/2018,SD,CMP 1124,7.967,,0.977,0.965,0.808,0.579,0.096955813,0.098525844,0.431,0.431,0.197,
13,9/24/2018,SD,CMP 1125,7.036,,0.900,,0.553,,0.088203,,0.392,,0.192,
14,9/24/2018,SD,CMP 1126,8.651,,0.952,,0.733,,0.091408877,,0.480,,0.264,
15,9/24/2018,SD,CMP 1127,11.117,,0.977,,0.868,0.635,0.108570615,,0.625,,0.343,
16,9/24/2018,SD,CMP 1128,13.416,,1.085,,0.943,,0.129976133,,0.837,,0.464,
17,9/24/2018,SD,CMP 1129,20.489,,1.054,,0.925,,0.124935979,,1.171,,0.686,
18,9/24/2018,SD,CMP 1130,23.379,22.571,0.954,,0.832,,0.121,,1.323,,0.771,
19,9/24/2018,SD,CMP 1131,23.560,,0.965,,0.836,,0.125,,1.295,,0.794,0.800
20,9/24/2018,SD,CMP 1132,23.800,,0.977,,0.851,0.849,0.123481127,,1.295,,0.827,
21,9/24/2018,SD,CMP 1133,12.023,,1.220,,0.965,,0.120,0.11907708,0.818,0.827,0.472,
22,9/24/2018,SD,CMP 1134,11.071,,0.983,,0.848,0.849,0.115361793,,0.673,,0.356,
23,9/24/2018,SD,CMP 1135,9.696,,0.990,,0.737,,0.107807813,,0.625,,0.270,
24,9/24/2018,SD,CMP 1136,8.943,,0.990,,0.644,,0.10164616,,0.577,,0.229,
1,9/24/2018,HL,CMP 1137,18.8484494,,1.328,,0.952,,0.035145421,,0.856,,0.468,
2,9/24/2018,HL,CMP 1138,13.930,13.97608686,1.309,,0.952,,0.052077148,,0.770,,0.437,
3,9/24/2018,HL,CMP 1139,12.96380242,,1.400,,0.977,,0.062464825,,0.818,,0.455,
4,9/24/2018,HL,CMP 1140,12.99778807,,1.379,,0.990,,0.081712267,,0.837,,0.483,0.487
5,9/24/2018,HL,CMP 1141,13.35495589,,1.549,,0.952,,0.09616833,,0.895,,0.528,
6,9/24/2018,HL,CMP 1142,13.58806009,,1.644,,1.131,1.080,0.089,0.084970797,1.295,1.295,0.553,
7,9/24/2018,HL,CMP 1143,14.04836211,,1.477,,0.990,,0.06331977,,1.028,,0.563,
8,9/24/2018,HL,CMP 1144,14.01845676,,1.286,1.263,1.178,,0.107807813,,1.484,,0.561,
9,9/24/2018,HL,CMP 1145,14.34728729,,1.296,,1.233,,0.055566033,,1.028,,0.552,
10,9/24/2018,HL,CMP 1146,14.21678532,14.19087887,1.374,,1.285,,0.07177872,,0.818,,0.549,
11,9/24/2018,HL,CMP 1147,13.62298858,,1.654,,1.512,,0.075946493,,0.914,,0.539,
12,9/24/2018,HL,CMP 1148,14.21578895,,1.484,,1.385,,0.09616833,,0.875,,0.504,
13,9/24/2018,HL,CMP 1149,13.05825515,,1.358,,1.241,,0.096955813,,0.779,,0.485,0.488
14,9/24/2018,HL,CMP 1150,12.53472594,,1.305,,1.201,,0.102422125,,0.722,,0.433,
15,9/24/2018,HL,CMP 1151,11.89472758,,1.207,1.204,1.103,1.103,0.091408877,0.097,0.875,0.885,0.423,
16,9/24/2018,HL,CMP 1152,12.1091798,,1.367,,1.276,,0.089809229,,0.875,,0.466,
17,9/24/2018,HL,CMP 1153,10.87546351,,1.448,,1.284,,0.11160537,,0.933,,0.507,
18,9/24/2018,HL,CMP 1154,13.09123319,12.74832363,1.505,,1.382,,0.085781316,,1.038,,0.539,
19,9/24/2018,HL,CMP 1155,13.55562364,,1.426,,1.331,,0.087397417,,1.086,,0.546,
20,9/24/2018,HL,CMP 1156,13.9152654,,1.260,,1.174,,0.077602084,,1.000,,0.542,
21,9/24/2018,HL,CMP 1157,13.78661121,,1.188,,1.118,,0.06075,,0.962,,0.536,
22,9/24/2018,HL,CMP 1158,14.34629126,,1.211,,1.144,,0.067569813,,0.856,,0.553,0.552
23,9/24/2018,HL,CMP 1159,13.59903795,,1.388,,1.302,,0.075946493,,1.019,,0.542,
24,9/24/2018,HL,CMP 1160,12.90681974,,1.512,1.512,1.416,1.412,0.084970797,0.084158633,0.962,0.962,0.525,
1,9/24/2018,PT,CMP 1161,0.208742787,,1.623,,1.554,,0.04590825,,0.933,,0.538,
2,9/24/2018,PT,CMP 1162,12.54673457,,1.523,,1.435,,0.084970797,,0.847,,0.517,
3,9/24/2018,PT,CMP 1163,12.62278052,,1.462,,1.375,,0.086590189,,0.808,,0.498,
4,9/24/2018,PT,CMP 1164,12.68130569,12.91181855,1.542,,1.435,,0.102422125,,0.808,,0.518,
5,9/24/2018,PT,CMP 1165,12.91831692,,1.609,,1.509,,0.098525844,,0.808,,0.534,
6,9/24/2018,PT,CMP 1166,13.20813259,,1.719,,1.579,1.574,0.08007313,,0.866,,0.565,
7,9/24/2018,PT,CMP 1167,13.26307303,,1.621,,1.540,,0.07428432,,0.904,,0.563,0.563
8,9/24/2018,PT,CMP 1168,13.02427482,,1.439,,1.371,,0.068414885,,0.827,0.827,0.553,
9,9/24/2018,PT,CMP 1169,13.3604482,,1.441,1.437,1.369,1.367,0.070940229,0.069258312,0.895,,0.552,
10,9/24/2018,PT,CMP 1170,13.67786979,,1.477,,1.395,,0.077602084,,0.866,,0.553,
11,9/24/2018,PT,CMP 1171,13.77663622,,1.521,,1.432,,0.086590189,,0.847,,0.557,
