Bottle,Date,Site,ID,DOC_ppm,DOC_rep2,TN_ppm,TN_rep2,NO3_ppm,NO3_rep2,NH4_ppm,NH4_rep2,TP_ppm,TP_rep2,PO4_PPM,PO4_rep2
,,,CMP 157,11.5,,2.74,,1.62,,0.05,,0.640,,0.230,
,,,CMP 158,12.0,,2.71,,1.62,,0.08,,0.621,,0.303,
,,,CMP 159,11.4,,2.78,,1.65,1.64,0.04,,0.592,,0.248,
,,,CMP 160,9.3,9.3,2.39,,1.41,,0.05,,0.563,,0.222,
,,,CMP 161,9.6,,2.29,2.29,1.16,,0.07,,0.533,0.543,0.150,
,,,CMP 162,9.6,,2.27,,1.10,,0.07,,0.563,,0.137,
,,,CMP 163,12.5,,3.33,,2.02,,0.01,,0.776,,0.306,
,,,CMP 164,13.1,,3.67,,2.20,,0.02,0.01,1.323,,0.376,
,,,CMP 165,13.2,,3.67,,2.25,,0.00,,1.247,,0.383,
,,,CMP 166,13.3,13.7,3.41,,1.99,,0.01,,1.917,,0.385,0.392
,,,CMP 167,13.0,,3.08,,1.72,,0.00,,1.409,,0.385,
,,,CMP 168,13.6,,3.12,,1.36,,0.02,,2.765,,0.379,
,,,CMP 169,13.1,,2.80,,1.36,,0.02,,1.352,,0.385,
,,,CMP 170,13.0,12.6,3.54,3.60,1.55,,0.02,,0.853,,0.450,
,,,CMP 171,12.3,,3.94,,2.29,,0.03,,0.892,,0.421,
,,,CMP 172,12.2,,3.25,,2.33,,0.03,,0.737,,0.365,
,,,CMP 173,11.8,,2.98,,2.17,,0.06,0.07,1.113,,0.339,
,,,CMP 174,12.3,,2.85,,2.00,,0.05,,0.950,,0.311,0.318
,,,CMP 175,11.5,,2.96,2.85,1.93,1.91,0.06,,0.892,,0.315,
,,,CMP 176,11.9,,2.94,,2.05,,0.07,,0.902,,0.344,
,,,CMP 177,12.4,,2.71,,2.19,2.19,0.03,,0.911,,0.385,
,,,CMP 178,12.3,,3.15,,2.36,,0.02,,1.456,,0.434,
,,,CMP 179,12.5,,3.03,,2.06,,0.04,,1.256,,0.466,
,,,CMP 180,12.6,12.5,2.62,,1.82,,0.01,,1.739,,0.401,
,,,CMP 181,12.3,,2.92,,1.98,,0.04,,1.247,,0.395,
,,,CMP 182,11.6,,3.15,,2.26,,0.03,0.01,0.998,,0.418,
,,,CMP 183,12.3,,2.81,,2.22,,0.04,,1.256,1.228,0.389,0.391
,,,CMP 184,11.9,,3.11,3.17,2.01,,0.07,,1.945,,0.350,
,,,CMP 185,11.2,,2.30,,1.92,,0.06,,1.046,,0.320,
,,,CMP 186,13.2,,1.89,,1.11,1.10,0.01,,1.103,,0.163,
,,,CMP 187,11.8,,1.83,,1.13,,0.07,,0.621,,0.212,
,,,CMP 188,10.7,,1.83,,0.98,,0.05,,0.524,,0.182,
,,,CMP 189,11.8,,1.91,,1.39,,0.06,,0.485,,0.275,
,,,CMP 190,12.6,12.6,2.23,,1.48,,0.06,,0.728,,0.291,
,,,CMP 191,12.0,,2.08,,1.36,,0.06,0.05,0.776,,0.281,
,,,CMP 192,12.5,,2.17,,1.31,,0.06,,1.170,,0.278,0.278
,,,CMP 193,15.9,,1.93,2.08,1.19,,0.06,,1.055,,0.273,
,,,CMP 194,13.6,,2.10,,1.21,,0.05,,0.940,,0.236,
,,,CMP 195,13.1,,2.41,,1.70,1.71,0.07,,0.892,,0.339,
,,,CMP 196,12.7,,2.23,,1.50,,0.06,,0.795,,0.288,
,,,CMP 197,14.2,,2.22,,1.59,,0.06,,0.766,,0.309,
,,,CMP 198,12.4,,2.10,,1.44,,0.05,,0.786,0.795,0.288,
,,,CMP 199,11.7,,2.10,,1.30,,0.07,,0.699,,0.258,
,,,CMP 200,11.6,11.6,1.75,1.73,1.28,,0.08,0.07,0.592,,0.251,
,,,CMP 201,14.0,,2.35,,1.36,,0.07,,0.660,,0.270,0.270
,,,CMP 202,12.9,,1.97,1.99,1.44,,0.05,,0.679,,0.354,
,,,CMP 203,13.7,,2.05,,1.59,,0.07,,0.689,,0.299,
,,,CMP 204,10.8,,1.91,,1.57,1.56,0.10,,0.679,,0.302,
,,,CMP 205,15.3,,2.05,,1.54,,0.09,,0.689,,0.300,
,,,CMP 206,14.4,,1.98,,1.55,,0.06,,0.689,0.689,0.305,
,,,CMP 207,14.8,,2.19,,1.54,,0.07,,0.747,,0.303,
,,,CMP 208,14.5,,1.98,,1.48,,0.07,,0.679,,0.288,
,,,CMP 209,13.9,,1.98,,1.36,,0.08,0.06,0.640,,0.248,
,,,CMP 210,14.0,14.1,2.67,,2.17,,0.02,,0.998,,0.490,0.501
,,,CMP 211,14.9,,4.50,4.35,2.00,,0.03,,4.747,4.706,0.509,
,,,CMP 212,14.7,,4.04,,2.01,,0.04,,5.677,5.710,0.537,
,,,CMP 213,10.7,,4.27,,2.11,2.18,0.04,,6.591,6.591,0.614,
,,,CMP 214,13.8,,4.77,,2.48,,0.05,,6.341,6.502,0.729,
,,,CMP 215,16.3,,4.89,,2.77,,0.07,,6.090,6.287,0.798,
,,,CMP 216,12.3,,4.45,,2.69,,0.04,,5.183,5.311,0.798,
,,,CMP 217,12.2,,3.84,,2.22,,0.06,,5.055,4.981,0.611,
,,,CMP 218,11.8,,3.47,,2.07,,0.04,0.05,3.572,3.591,0.501,
,,,CMP 219,11.9,,3.54,,2.54,,0.06,,3.082,3.007,0.546,0.547
,,,CMP 220,11.3,,2.97,2.84,2.35,,0.05,,1.465,,0.512,
,,,CMP 221,11.1,,2.93,,2.15,,0.05,,1.103,,0.476,
,,,CMP 222,11.0,,2.83,,2.13,2.18,0.09,,1.151,,0.458,
,,,CMP 223,11.2,,2.85,,2.14,,0.08,,1.579,,0.460,
,,,CMP 224,11.5,,3.15,,2.36,,0.07,,3.411,,0.496,
,,,CMP 225,11.3,,3.05,,2.45,,0.07,,2.279,,0.537,
,,,CMP 226,13.8,,2.74,,2.17,,0.07,,1.964,,0.515,
,,,CMP 227,13.6,,3.01,,2.05,,0.06,0.07,2.187,,0.501,
,,,CMP 228,13.4,,2.76,,2.07,,0.07,,3.090,3.072,0.512,0.509
,,,CMP 229,13.0,,3.20,3.17,2.10,,0.07,,2.399,,0.504,
,,,CMP 230,14.1,14.1,2.87,,2.27,,0.07,,2.765,,0.512,
,,,CMP 231,13.8,,2.91,,2.25,2.27,0.07,,2.399,,0.503,
,,,CMP 232,13.6,,2.96,,2.21,,0.09,,1.437,,0.486,
,,,CMP 233,13.2,,2.79,,2.22,,0.06,,1.664,,0.481,
,,,CMP 234,13.8,,1.98,,1.39,,0.00,,0.592,,0.227,
,,,CMP 235,13.6,,2.18,,1.56,,0.06,,0.660,,0.273,
,,,CMP 236,13.6,,2.30,,1.45,,0.07,0.07,0.844,,0.315,
,,,CMP 237,13.7,,2.29,,1.70,,0.08,,0.873,0.911,0.315,0.323
,,,CMP 238,14.8,,2.42,2.42,1.49,,0.08,,0.969,,0.305,
,,,CMP 239,16.3,,1.96,,1.41,,0.07,,0.940,,0.269,
,,,CMP 240,16.9,16.9,2.01,,1.33,1.37,0.10,,1.017,,0.249,
,,,CMP 241,18.2,,1.94,,1.29,,0.08,,0.882,,0.252,
,,,CMP 242,14.7,,2.75,,2.03,,0.07,,0.844,,0.398,
,,,CMP 243,13.5,,2.72,,1.96,,0.07,,0.882,,0.373,
,,,CMP 244,12.9,,2.46,,1.72,,0.09,,0.786,,0.317,
,,,CMP 245,12.5,,2.38,,1.41,,0.08,0.08,0.708,,0.252,
,,,CMP 246,12.4,,1.91,,1.28,,0.07,,0.631,0.640,0.216,
,,,CMP 247,12.3,,1.86,1.84,1.26,,0.08,,0.611,,0.215,
,,,CMP 248,12.0,,1.98,,1.29,,0.08,,0.621,,0.213,
,,,CMP 249,12.7,,1.93,,1.39,1.39,0.08,,0.670,,0.248,0.242
,,,CMP 250,12.7,12.8,2.26,,1.59,,0.10,,0.728,,0.284,
,,,CMP 251,13.3,,2.20,,1.68,,0.08,,0.699,,0.312,
,,,CMP 252,13.6,,2.38,,1.78,,0.07,,0.786,,0.338,
,,,CMP 253,13.5,,2.39,,1.76,,0.07,,0.892,,0.326,
,,,CMP 254,13.3,,2.45,,1.69,,0.07,0.08,0.776,,0.315,
,,,CMP 255,13.0,,2.50,,1.70,,0.08,,0.882,,0.303,
,,,CMP 256,12.7,,2.43,2.44,1.52,,0.10,,0.611,,0.266,
,,,CMP 257,12.0,,1.89,,1.35,,0.09,,0.795,,0.234,
,,,CMP 258,15.6,,2.46,,1.90,1.94,0.02,,0.844,0.815,0.403,0.405
,,,CMP 259,14.3,,2.69,,2.10,,0.07,,0.824,,0.461,
,,,CMP 260,14.3,14.3,2.81,,2.23,,0.07,,0.834,,0.503,
,,,CMP 261,14.8,,2.73,,2.15,,0.06,,0.795,,0.513,
,,,CMP 262,14.8,,2.32,,1.73,,0.05,,0.853,,0.466,
,,,CMP 263,15.8,,2.10,,1.44,,0.05,0.05,0.815,,0.440,
,,,CMP 264,15.4,,2.13,,1.24,,0.05,,0.757,,0.432,
,,,CMP 265,14.6,,2.03,2.16,1.27,,0.04,,0.931,,0.427,
,,,CMP 266,14.0,,2.28,,1.57,1.56,0.05,,1.046,,0.447,
,,,CMP 267,13.8,,3.00,,2.32,,0.05,,0.969,0.950,0.544,0.537
,,,CMP 268,13.4,,2.91,,2.26,,0.07,,0.834,,0.509,
,,,CMP 269,13.3,,2.84,2.90,2.12,,0.09,,0.747,,0.446,
,,,CMP 270,12.9,12.9,2.88,,1.96,,0.08,,0.747,,0.427,
,,,CMP 271,12.5,,2.69,,1.95,,0.08,,0.834,,0.412,
,,,CMP 272,12.5,,3.07,,1.95,,0.08,0.08,0.737,,0.415,
,,,CMP 273,12.7,,3.11,,2.04,,0.08,,0.824,,0.453,
,,,CMP 274,13.2,,2.88,2.84,2.24,,0.08,,0.921,,0.506,
,,,CMP 275,13.4,,3.18,,2.27,2.26,0.08,,0.815,,0.526,
,,,CMP 276,13.5,,2.62,,2.00,,0.06,,0.931,,0.492,0.496
,,,CMP 277,13.5,,3.02,,2.06,,0.07,,0.950,0.959,0.509,
,,,CMP 278,13.4,,3.07,,2.23,,0.06,,0.950,,0.512,
,,,CMP 279,13.2,,3.11,,2.17,,0.08,,0.892,,0.498,
,,,CMP 280,13.7,13.5,3.25,,2.13,,0.09,,0.853,,0.475,
,,,CMP 281,12.6,,3.00,,2.09,2.06,0.10,0.10,0.795,,0.463,0.466
,,,CMP 282,13.7,,2.98,,2.08,2.07,0.05,,0.853,,0.412,
,,,CMP 283,12.6,,2.95,2.95,2.07,,0.08,0.08,0.940,,0.403,
,,,CMP 284,12.4,,2.87,,2.12,,0.08,,0.776,,0.421,
,,,CMP 285,13.0,,3.11,,2.28,,0.07,,0.988,,0.473,
,,,CMP 286,13.4,,2.96,,1.96,,0.07,,0.988,0.998,0.503,
,,,CMP 287,13.8,,2.82,,2.01,,0.06,,0.911,,0.492,
,,,CMP 288,14.2,,2.62,,1.91,,0.06,,0.853,,0.507,
,,,CMP 289,13.6,,2.89,,2.09,,0.06,,0.911,,0.490,
,,,CMP 290,13.2,13.2,2.98,,2.24,,0.06,,0.853,,0.478,0.472
,,,CMP 291,12.9,,3.05,,2.14,2.18,0.07,0.07,0.969,,0.450,
,,,CMP 292,12.4,,2.70,2.71,2.02,,0.06,,0.950,,0.398,
,,,CMP 293,12.1,,2.74,,1.85,,0.08,0.08,0.931,,0.350,
,,,CMP 294,12.0,,2.48,,1.85,,0.08,,0.786,,0.353,
,,,CMP 295,11.6,,2.36,,1.70,,0.07,,0.911,0.931,0.317,
,,,CMP 296,11.8,,3.82,,1.80,,0.07,,0.708,,0.351,
,,,CMP 297,12.6,,2.94,,2.00,,0.05,,0.988,,0.414,
,,,CMP 298,14.1,,2.94,,2.09,,0.06,,1.247,,0.460,
,,,CMP 299,13.9,,2.95,,2.03,,0.06,,1.123,,0.498,0.504
,,,CMP 300,14.6,14.6,2.99,,1.91,1.94,0.05,,0.998,,0.518,
,,,CMP 301,15.1,,2.89,2.93,1.91,,0.05,,1.055,,0.549,
,,,CMP 302,15.1,,2.86,,1.87,,0.05,0.05,1.027,,0.554,
,,,CMP 303,14.9,,2.81,,1.83,,0.06,,1.017,1.046,0.557,
,,,CMP 304,14.4,,2.53,,1.80,,0.06,,1.123,,0.467,
,,,CMP 305,13.8,,3.11,,2.18,,0.06,,1.113,,0.492,0.493
