Site,Bottle,Date,ID,EC_uScm,pH,Turbidity_ntu,TP_mgL,TDP_mgL,PO4P_mgL,TN_mgL,TDN_mgL,DON_mgL,NH4N_mgL,NO3N_mgL,DOC_mgL,TSS_mgL,VSS_mgL
PT,21,6/14/2017,CMP 100,3.02,8.11,45.5,0.659,0.458,0.388,2.32,2.26,1.07,0.03,1.15,14.7,44.4,8.6
PT,22,6/14/2017,CMP 101,3.22,8.26,48.3,0.649,0.426,0.355,2.74,2.38,1.21,0.06,1.11,16,43.1,8.6
PT,23,6/14/2017,CMP 102,3.02,8.21,65.2,0.735,0.496,0.426,2.74,2.21,0.92,0.04,1.25,14.6,55.3,10.5
PT,24,6/14/2017,CMP 103,2.58,8.21,52.9,0.858,0.667,0.588,2.85,2.5,0.87,0.07,1.55,13.1,45.3,6.7
PT,1,6/22/2017,CMP 104,2.18,8.36,88.8,1.153,0.788,0.692,3.54,3.45,0.92,0.05,2.49,14.8,82.8,13.9
PT,2,6/22/2017,CMP 105,2.14,8.36,99,1.22,0.75,0.644,3.4,3.06,0.75,0.02,2.28,14.1,75.1,11.7
PT,3,6/22/2017,CMP 106,2.07,8.24,79,1.001,0.674,0.574,3.06,2.94,0.84,0.02,2.08,14,70.9,11.1
PT,4,6/22/2017,CMP 107,2.07,8.15,64.3,0.954,0.693,0.594,3.02,2.86,0.77,0.02,2.07,15,58.7,11.3
PT,5,6/22/2017,CMP 108,2.15,8.46,78.4,1.125,0.801,0.688,3.39,3.22,0.78,0.02,2.42,14.2,56,9.3
PT,6,6/22/2017,CMP 109,2.27,8.4,71.3,1.106,0.788,0.681,3.22,3.05,0.91,0.03,2.1,14.8,62,10.9
PT,7,6/22/2017,CMP 110,2.38,8.54,57.6,1.049,0.775,0.668,3,2.82,0.93,0.02,1.87,15.6,59.6,10.8
PT,8,6/22/2017,CMP 111,2.41,8.21,52.8,1.02,0.769,0.643,2.89,2.68,0.93,0.02,1.73,16.7,50.2,9.6
PT,9,6/22/2017,CMP 112,2.34,8.25,48.8,1.02,0.769,0.674,3.09,2.87,0.87,0.02,1.98,16,40,8.2
PT,10,6/22/2017,CMP 113,2.22,8.22,58.4,1.03,0.788,0.671,3.16,3.09,0.83,0.03,2.23,15.1,49.9,8.2
PT,11,6/22/2017,CMP 114,2.14,8.15,72.3,1.029,0.731,0.612,3.48,2.86,0.8,0.03,2.03,15.2,63.1,10.5
PT,12,6/22/2017,CMP 115,2.07,8.16,67,0.916,0.655,0.555,2.88,2.73,0.8,0.02,1.91,14.8,59.2,11.4
PT,13,6/22/2017,CMP 116,1.9,8.24,105,0.887,0.534,0.455,2.49,2.26,0.66,0.02,1.58,13.2,89.2,14.2
PT,14,6/22/2017,CMP 117,1.81,8.13,73.6,0.792,0.464,0.377,2.26,1.94,0.62,0.01,1.31,12.9,69.8,12.4
PT,15,6/22/2017,CMP 118,1.79,8.1,66.8,0.735,0.433,0.358,2.1,1.82,0.6,0.01,1.21,12.8,65.1,11.7
